Dataora,wds_comuneimpianto,wdd_comuneimpianto,rnf_comuneimpianto,rhm_comuneimpianto,wds_comunelimitrofo1,wdd_comunelimitrofo1,rnf_comunelimitrofo1,rhm_comunelimitrofo1,wds_comunelimitrofo2,wdd_comunelimitrofo2,rnf_comunelimitrofo2,rhm_comunelimitrofo2,wds_comunelimitrofo3,wdd_comunelimitrofo3,rnf_comunelimitrofo3,rhm_comunelimitrofo3,wds_comunelimitrofo4,wdd_comunelimitrofo4,rnf_comunelimitrofo4,rhm_comunelimitrofo4,wds2_comuneimpianto,wds3_comuneimpianto,u_comuneimpianto,v_comuneimpianto,wds2_comunelimitrofo1,wds3_comunelimitrofo1,u_comunelimitrofo1,v_comunelimitrofo1,wds2_comunelimitrofo2,wds3_comunelimitrofo2,u_comunelimitrofo2,v_comunelimitrofo2,wds2_comunelimitrofo3,wds3_comunelimitrofo3,u_comunelimitrofo3,v_comunelimitrofo3,wds2_comunelimitrofo4,wds3_comunelimitrofo4,u_comunelimitrofo4,v_comunelimitrofo4,sin_ora,cos_ora,sin_giorno,cos_giorno,sin_mese,cos_mese,wds_comuneimpianto_rol3,wds_comuneimpianto_rol6,wds2_comuneimpianto_rol3,wds2_comuneimpianto_rol6,wds3_comuneimpianto_rol3,wds3_comuneimpianto_rol6,wds_comunelimitrofo1_rol3,wds_comunelimitrofo1_rol6,wds2_comunelimitrofo1_rol3,wds2_comunelimitrofo1_rol6,wds3_comunelimitrofo1_rol3,wds3_comunelimitrofo1_rol6,wds_comunelimitrofo2_rol3,wds_comunelimitrofo2_rol6,wds2_comunelimitrofo2_rol3,wds2_comunelimitrofo2_rol6,wds3_comunelimitrofo2_rol3,wds3_comunelimitrofo2_rol6,wds_comunelimitrofo3_rol3,wds_comunelimitrofo3_rol6,wds2_comunelimitrofo3_rol3,wds2_comunelimitrofo3_rol6,wds3_comunelimitrofo3_rol3,wds3_comunelimitrofo3_rol6,wds_comunelimitrofo4_rol3,wds_comunelimitrofo4_rol6,wds2_comunelimitrofo4_rol3,wds2_comunelimitrofo4_rol6,wds3_comunelimitrofo4_rol3,wds3_comunelimitrofo4_rol6,media_rol3_wds_tutti,media_rol6_wds_tutti,media_rol3_wds2_tutti,media_rol6_wds2_tutti,media_rol3_wds3_tutti,media_rol6_wds3_tutti,media_wds_tutti,std_wds_tutti,media_wds2_tutti,std_wds2_tutti,media_wds3_tutti,std_wds3_tutti,media_u_tutti,std_u_tutti,media_v_tutti,std_v_tutti,media_rnf_tutti,std_rnf_tutti,media_rhm_tutti,std_rhm_tutti
2025-01-01 00:00:00,7.0,237.2,0.0,80.4,8.8,233.5,0.0,76.9,8.8,235.3,0.0,80.6,8.2,232.5,0.0,83.6,9.3,238.3,0.0,82.6,49.0,343.0,-3.7919574719791798,-5.8839662244697895,77.44000000000001,681.4720000000002,-5.234440523411807,-7.073940373431511,77.44000000000001,681.4720000000002,-5.0096598061914275,-7.234867561070491,67.24,551.3679999999998,-4.991843717871511,-6.505497390388126,86.49000000000001,804.3570000000002,-4.886886354972087,-7.91254331764368,0.0,1.0,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,6.9666666666666766,6.399999999999996,48.57666666666697,41.42333333333334,339.0036666666606,270.85699999999275,8.333333333333309,7.883333333333333,69.50666666666682,62.595,580.2533333333309,500.2498333333236,8.466666666666649,8.083333333333334,71.76666666666677,65.6316666666665,609.0126666666764,535.1448333333333,7.800000000000004,7.483333333333333,60.900000000000006,56.18833333333318,475.9559999999996,423.25383333333326,9.199999999999996,8.6,84.74666666666647,74.44333333333333,781.6319999999927,648.4859999999903,8.153333333333327,7.6899999999999995,67.0993333333334,60.056333333333285,557.171533333332,475.59829999999465,8.087777777777776,0.8442491419934111,66.22588888888889,13.312807055355412,548.3678777777754,159.57799987366892,-4.782957574885203,0.568275146938367,-6.922162973400719,0.7669968158556151,0.0,0.0,80.82000000000001,2.573324697740255
2025-01-01 01:00:00,7.0,235.8,0.0,80.0,8.9,233.1,0.0,75.7,9.1,235.4,0.0,80.1,8.5,232.2,0.0,83.1,9.7,238.5,0.0,82.6,49.0,343.0,-3.9345836449649108,-5.789564019921935,79.21000000000001,704.969,-5.3437400054003685,-7.1171934605351055,82.80999999999999,753.5709999999999,-5.16737807998322,-7.490540953663421,72.25,614.125,-5.2097099560503,-6.716317605193368,94.08999999999999,912.6729999999998,-5.068236077744701,-8.270609594234696,0.25881904510252074,0.9659258262890683,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,7.066666666666676,6.699999999999996,49.94666666666697,45.083333333333336,353.0826666666606,304.5889999999927,8.599999999999977,8.25,73.98666666666682,68.24166666666666,636.7439999999978,565.9124999999902,8.699999999999983,8.366666666666667,75.7100000000001,70.1366666666665,659.0230000000098,589.0716666666666,8.033333333333337,7.733333333333332,64.56333333333333,59.913333333333185,519.1203333333328,465.0213333333333,9.366666666666662,8.9,87.76333333333314,79.48333333333333,822.5936666666594,712.2329999999903,8.353333333333328,7.989999999999999,70.39400000000008,64.5716666666666,598.1127333333321,527.3654999999947,8.327777777777776,0.88262924919492,70.14588888888889,14.358531157837174,597.048611111109,177.22882734453657,-4.9447295528287,0.5732898348278541,-7.076845126709705,0.9199074098611894,0.0,0.0,80.3,2.933428028774522
2025-01-01 02:00:00,6.8,235.8,0.0,79.5,8.5,233.2,0.0,74.1,8.7,235.6,0.0,78.7,8.1,230.9,0.0,81.8,9.6,238.0,0.0,82.3,46.239999999999995,314.43199999999996,-3.822166969394485,-5.624147905067023,72.25,614.125,-5.091700587382481,-6.806216653064234,75.68999999999998,658.5029999999998,-4.91521292979696,-7.178487435021166,65.61,531.4409999999999,-5.10847404019342,-6.28597589723902,92.16,884.7359999999999,-5.087224936638768,-8.141261723101689,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,7.066666666666676,6.883333333333329,49.94666666666697,47.44833333333333,353.0826666666606,327.5258333333261,8.766666666666643,8.483333333333334,76.87000000000015,72.06833333333334,674.1656666666644,613.0948333333235,8.899999999999983,8.583333333333334,79.23000000000009,73.79833333333318,705.5050000000098,635.5748333333333,8.266666666666671,7.933333333333333,68.36666666666667,63.07333333333318,565.6446666666662,502.53933333333333,9.533333333333328,9.166666666666666,90.91333333333313,84.22999999999999,867.2553333333261,775.771666666657,8.50666666666666,8.209999999999999,73.0653333333334,68.1236666666666,633.1306666666654,570.9012999999946,8.352222222222219,0.876950584720897,70.52633333333333,14.294040677460227,601.5597888888866,176.71381815012765,-4.804955892681223,0.5549892523630316,-6.8072179226986265,0.9472147104061227,0.0,0.0,79.28,3.266802718255268
2025-01-01 03:00:00,6.9,236.7,0.0,78.8,8.6,231.9,0.0,73.3,8.6,234.7,0.0,78.2,7.8,228.5,0.0,81.5,9.3,237.4,0.0,81.5,47.61000000000001,328.50900000000007,-3.7882574441871117,-5.767070793441063,73.96,636.0559999999999,-5.306508526210436,-6.767641188867503,73.96,636.0559999999999,-4.969575569698146,-7.018783274689377,60.839999999999996,474.55199999999996,-5.168436376082751,-5.841854622154217,86.49000000000001,804.3570000000002,-5.010568300563829,-7.834807292166471,0.7071067811865476,0.7071067811865476,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,6.933333333333343,6.949999999999996,48.080000000000304,48.32833333333334,333.4773333333272,336.2404999999927,8.733333333333311,8.533333333333333,76.30000000000015,72.90333333333335,666.855333333331,623.5543333333236,8.86666666666665,8.666666666666666,78.64666666666676,75.20666666666651,697.8486666666763,653.4306666666666,8.266666666666671,8.033333333333333,68.36666666666666,64.63333333333318,565.6446666666662,520.8003333333332,9.53333333333333,9.366666666666665,90.91333333333314,87.82999999999998,867.2553333333261,824.443666666657,8.466666666666661,8.309999999999999,72.4613333333334,69.78033333333327,626.2162666666654,591.6938999999946,8.338888888888885,0.8654677299208717,70.27122222222222,14.077043065041222,597.93872222222,173.42206544304108,-4.848669243348455,0.6076945483521898,-6.646031434263726,0.8640302454975038,0.0,0.0,78.66,3.357528853189501
2025-01-01 04:00:00,6.5,237.9,0.0,78.6,8.1,230.4,0.0,72.6,8.3,233.7,0.0,77.9,7.7,227.0,0.0,81.2,9.3,237.0,0.0,81.4,42.25,274.625,-3.4540907668675382,-5.506292488983892,65.61,531.4409999999999,-5.163134316964385,-6.241157266483894,68.89000000000001,571.7870000000001,-4.913709384033522,-6.689204742662683,59.290000000000006,456.533,-5.251387372481239,-5.631423502467612,86.49000000000001,804.3570000000002,-5.065143025639752,-7.799636281892445,0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,6.90000000000001,6.983333333333328,47.616666666666966,48.781666666666666,328.6469999999939,340.86483333332603,8.666666666666643,8.633333333333333,75.14000000000014,74.56333333333335,651.7166666666642,644.2303333333236,8.799999999999983,8.75,77.48666666666675,76.59833333333317,682.7100000000096,670.8665,8.133333333333338,8.083333333333334,66.23333333333333,65.39833333333318,540.0393333333329,529.5798333333333,9.53333333333333,9.450000000000001,90.91333333333314,89.33833333333332,867.2553333333259,844.9244999999902,8.406666666666661,8.379999999999999,71.47800000000007,70.93599999999994,614.0736666666652,606.0931999999946,8.255555555555553,0.9227432072115308,68.97333333333334,14.895217513077926,582.6384888888866,182.52858180108447,-4.769492973197287,0.7459333097980168,-6.373542856498105,0.9292167621649866,0.0,0.0,78.34,3.562021897742914
2025-01-01 05:00:00,6.6,235.3,0.0,78.9,8.0,228.7,0.0,72.7,8.3,232.7,0.0,78.0,7.7,227.1,0.0,81.2,9.3,236.6,0.0,81.4,43.559999999999995,287.496,-3.75724485464357,-5.426150670802867,64.0,512.0,-5.280013343687495,-6.0101130680280885,68.89000000000001,571.7870000000001,-5.029703722205405,-6.602429891095634,59.290000000000006,456.533,-5.241550690983668,-5.640580320662815,86.49000000000001,804.3570000000002,-5.119470882790462,-7.764085128349679,0.9659258262890683,0.25881904510252074,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,6.733333333333344,6.899999999999995,45.366666666666966,47.656666666666666,305.8553333333272,329.4689999999927,8.399999999999977,8.583333333333334,70.60666666666681,73.73833333333334,593.8739999999975,634.0198333333236,8.533333333333317,8.716666666666667,72.84666666666676,76.03833333333317,622.1153333333431,663.8101666666668,7.866666666666672,8.066666666666666,61.913333333333334,65.13999999999984,487.50866666666633,526.5766666666666,9.399999999999997,9.466666666666667,88.37999999999981,89.64666666666666,831.1499999999928,849.202666666657,8.186666666666662,8.346666666666668,67.82266666666673,70.44399999999993,568.1006666666653,600.6156666666614,8.17111111111111,0.9117066385131739,67.57088888888889,14.668198578907468,565.050311111109,179.1373101267286,-4.885596698862121,0.6385353527133375,-6.288671815787817,0.9376631671686013,0.0,0.0,78.44000000000001,3.5260459441136054
2025-01-01 06:00:00,6.4,236.1,0.0,78.8,7.6,228.1,0.0,72.9,8.1,232.5,0.0,77.8,7.6,226.7,0.0,80.9,9.2,236.5,0.0,80.8,40.96000000000001,262.14400000000006,-3.5695686974700163,-5.312078624610353,57.76,438.97599999999994,-5.075527421579954,-5.656767751356771,65.61,531.4409999999999,-4.930967574970639,-6.4261620563590025,57.76,438.97599999999994,-5.21221948224806,-5.531072958194798,84.63999999999999,778.6879999999999,-5.077820264870937,-7.671749563017946,1.0,6.123233995736766e-17,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,6.666666666666676,6.7999999999999945,44.47333333333364,46.276666666666664,296.8766666666606,315.1769999999927,8.233333333333311,8.483333333333333,67.85666666666681,72.07833333333333,559.8323333333309,613.3438333333237,8.399999999999984,8.633333333333335,70.58000000000011,74.61333333333317,593.2100000000098,645.5293333333334,7.733333333333338,8.0,59.80666666666667,64.08666666666652,462.539333333333,514.092,9.3,9.416666666666668,86.49000000000001,88.70166666666665,804.3570000000002,835.8061666666571,8.066666666666663,8.266666666666666,65.84133333333345,69.15133333333327,543.3630666666669,584.7896666666613,8.037777777777775,0.9313428320975411,65.44622222222225,14.810683784128203,539.3992444444427,178.90689304441304,-4.773220688227921,0.680175050888502,-6.119566190707775,0.9638227398868316,0.0,0.0,78.24,3.2654249340629447
2025-01-01 07:00:00,6.2,239.3,0.0,78.2,7.4,229.5,0.0,72.9,8.0,233.3,0.0,77.3,7.5,227.7,0.0,80.2,9.1,237.2,0.0,79.5,38.440000000000005,238.32800000000003,-3.1653660910519537,-5.331084083900617,54.760000000000005,405.22400000000005,-4.805915557643358,-5.627004145440231,64.0,512.0,-4.781001175804171,-6.41420515395003,56.25,421.875,-5.0475938513233025,-5.547233212339571,82.80999999999999,753.5709999999999,-4.929544713572933,-7.649156091810727,0.9659258262890683,-0.25881904510252063,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,6.50000000000001,6.699999999999995,42.256666666666966,44.93666666666667,274.7549999999939,301.7009999999927,7.899999999999976,8.283333333333333,62.45666666666681,68.79833333333333,494.13899999999757,572.9278333333235,8.233333333333317,8.516666666666666,67.79666666666678,72.64166666666651,558.3383333333431,620.5241666666667,7.666666666666671,7.8999999999999995,58.78000000000001,62.50666666666652,450.68066666666635,495.35999999999996,9.266666666666664,9.4,85.87333333333315,88.39333333333332,795.8006666666596,831.5279999999902,7.913333333333329,8.159999999999998,63.43266666666674,67.45533333333326,514.7427333333321,564.4081999999946,7.904444444444443,0.9621500944409879,63.379999999999995,15.119622656855976,515.1168444444422,180.82658297978313,-4.545884277879145,0.7790434057722014,-6.1137365374882355,0.9510749049436549,0.0,0.0,77.62,2.8682747427678525
2025-01-01 08:00:00,5.4,240.7,0.0,72.1,6.9,231.0,0.0,69.6,7.7,232.7,0.0,71.8,7.6,226.7,0.0,74.4,8.7,237.3,0.0,72.4,29.160000000000004,157.46400000000003,-2.6426652394437715,-4.70917407113345,47.61000000000001,328.50900000000007,-4.342310698243882,-5.362307134053097,59.290000000000006,456.533,-4.666110682045979,-6.125145802582696,57.76,438.97599999999994,-5.21221948224806,-5.531072958194798,75.68999999999998,658.5029999999998,-4.700090788155599,-7.321143802924162,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,6.400000000000009,6.566666666666662,40.98666666666697,43.17666666666667,262.6559999999939,284.2556666666594,7.666666666666643,8.033333333333333,58.840000000000146,64.72333333333334,452.0666666666643,522.9703333333235,8.133333333333317,8.333333333333334,66.16666666666676,69.5066666666665,538.409333333343,580.2623333333333,7.600000000000005,7.733333333333334,57.76666666666667,59.839999999999854,439.12799999999964,463.3183333333333,9.199999999999994,9.3,84.64666666666646,86.51333333333332,778.8719999999927,805.0109999999904,7.799999999999993,7.993333333333334,61.6813333333334,64.75199999999994,494.22639999999876,531.1635333333281,7.684444444444441,1.0499332304293378,60.111777777777775,15.739277169555912,477.7956444444423,181.1774351141192,-4.312679378027458,0.9841238393446856,-5.809768753777641,0.983986677394868,0.0,0.0,72.05999999999999,1.7111399708965993
2025-01-01 09:00:00,3.0,150.9,0.0,67.0,4.5,233.4,0.0,64.2,6.1,230.1,0.0,64.4,6.5,224.8,0.0,66.0,6.9,240.1,0.0,64.9,9.0,27.0,-2.6213166691063954,1.4590061412704718,20.25,91.125,-2.6830119373452725,-3.6126786383600145,37.209999999999994,226.98099999999997,-3.9128427525718643,-4.679707426073326,42.25,274.625,-4.6122097874873855,-4.5801223647633655,47.61000000000001,328.50900000000007,-3.4395654043014328,-5.981587567655658,0.7071067811865476,-0.7071067811865475,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,6.00000000000001,6.333333333333329,36.18666666666697,40.330000000000005,219.31199999999396,258.0943333333261,7.299999999999976,7.766666666666666,53.376666666666814,60.616666666666674,390.9029999999976,475.36766666665693,7.933333333333317,8.166666666666666,62.96666666666676,66.77333333333318,499.991333333343,546.6006666666666,7.566666666666671,7.6499999999999995,57.25666666666667,58.53166666666652,433.27566666666627,447.9075,8.999999999999995,9.15,81.04666666666645,83.76833333333333,730.2539999999926,767.3054999999904,7.559999999999993,7.813333333333331,58.16666666666673,62.00399999999994,454.7471999999987,499.055133333328,6.924444444444443,1.624696145787747,50.47822222222222,20.493111855414167,381.1501111111089,209.99834808747028,-3.4537893101624695,0.8426118384709238,-3.4790179711163782,2.8861257745877187,0.0,0.0,65.3,1.1789826122551572
